日期,CCTD秦皇岛5500大卡（元/吨）,CCTD综合结算5500大卡（元/吨）,CCTD综合结算5000大卡（元/吨）,CCTD综合结算4500大卡（元/吨）,广州港进口煤5500大卡（元/吨）,广州港进口煤5000大卡（元/吨）,广州港进口煤4500大卡（元/吨）,数据来源
2026-01-01,829.56,729.62,550.34,531.16,806.41,779.27,614.3,示例数据（需从官方渠道获取实际数据）
2026-01-02,701.64,673.22,675.46,530.04,922.29,742.21,713.6,示例数据（需从官方渠道获取实际数据）
2026-01-03,720.55,677.16,573.3,571.46,929.07,735.64,742.53,示例数据（需从官方渠道获取实际数据）
2026-01-04,836.25,722.54,581.87,638.12,810.21,726.49,671.81,示例数据（需从官方渠道获取实际数据）
2026-01-05,746.73,602.08,652.87,504.72,831.02,724.39,672.46,示例数据（需从官方渠道获取实际数据）
2026-01-06,797.68,670.46,581.65,506.55,840.5,737.6,688.52,示例数据（需从官方渠道获取实际数据）
2026-01-07,840.44,748.98,628.41,558.02,938.55,708.49,643.37,示例数据（需从官方渠道获取实际数据）
2026-01-08,764.61,708.55,591.66,568.37,927.01,788.91,675.8,示例数据（需从官方渠道获取实际数据）
2026-01-09,731.12,692.58,576.83,510.23,901.88,727.62,640.91,示例数据（需从官方渠道获取实际数据）
2026-01-10,812.19,609.2,627.7,563.08,859.31,798.37,668.52,示例数据（需从官方渠道获取实际数据）
2026-01-11,731.41,606.79,662.53,622.08,946.86,728.08,627.12,示例数据（需从官方渠道获取实际数据）
2026-01-12,755.83,650.55,564.76,517.76,864.03,739.68,710.63,示例数据（需从官方渠道获取实际数据）
2026-01-13,813.07,749.96,572.22,537.82,835.9,762.12,730.8,示例数据（需从官方渠道获取实际数据）
2026-01-14,750.07,723.49,675.39,589.25,859.81,805.85,718.01,示例数据（需从官方渠道获取实际数据）
2026-01-15,711.22,707.88,679.33,648.57,838.55,706.25,729.3,示例数据（需从官方渠道获取实际数据）
2026-01-16,776.56,668.98,660.35,635.12,926.8,732.72,644.03,示例数据（需从官方渠道获取实际数据）
2026-01-17,779.61,736.14,585.39,532.06,879.94,755.19,635.74,示例数据（需从官方渠道获取实际数据）
2026-01-18,796.63,608.17,643.32,572.76,927.11,843.27,642.24,示例数据（需从官方渠道获取实际数据）
2026-01-19,835.62,642.15,558.27,534.33,807.69,701.77,735.52,示例数据（需从官方渠道获取实际数据）
2026-01-20,745.56,621.83,554.52,537.35,941.31,708.01,700.19,示例数据（需从官方渠道获取实际数据）
2026-01-21,753.69,742.65,641.6,571.38,912.37,795.12,611.71,示例数据（需从官方渠道获取实际数据）
2026-01-22,813.16,686.46,636.36,559.43,805.43,827.4,614.67,示例数据（需从官方渠道获取实际数据）
2026-01-23,823.32,735.72,665.62,578.49,931.35,756.26,677.12,示例数据（需从官方渠道获取实际数据）
2026-01-24,735.33,668.38,567.1,645.04,879.46,842.78,616.64,示例数据（需从官方渠道获取实际数据）
2026-01-25,719.73,729.89,693.93,571.04,862.06,732.97,724.31,示例数据（需从官方渠道获取实际数据）
2026-01-26,845.99,738.46,570.33,641.86,834.48,708.34,606.98,示例数据（需从官方渠道获取实际数据）
2026-01-27,733.97,658.78,614.12,525.5,916.54,746.22,604.63,示例数据（需从官方渠道获取实际数据）
2026-01-28,748.15,651.74,642.59,567.01,948.96,819.95,742.12,示例数据（需从官方渠道获取实际数据）
2026-01-29,717.74,701.31,686.96,571.84,822.92,830.13,683.0,示例数据（需从官方渠道获取实际数据）
2026-01-30,797.62,654.62,670.21,622.3,906.68,709.22,601.08,示例数据（需从官方渠道获取实际数据）
2026-01-31,811.2,604.96,571.59,598.88,827.51,816.17,681.05,示例数据（需从官方渠道获取实际数据）
2026-02-01,753.0,740.41,659.32,626.05,912.69,812.24,621.42,示例数据（需从官方渠道获取实际数据）
2026-02-02,833.38,638.48,587.11,636.39,825.45,724.09,712.22,示例数据（需从官方渠道获取实际数据）
2026-02-03,817.0,673.14,600.48,541.0,876.42,722.06,741.42,示例数据（需从官方渠道获取实际数据）
2026-02-04,740.32,710.72,659.15,568.09,882.2,719.2,711.67,示例数据（需从官方渠道获取实际数据）
2026-02-05,756.78,601.09,697.44,567.5,889.85,710.02,609.88,示例数据（需从官方渠道获取实际数据）
2026-02-06,804.32,639.09,592.97,546.26,918.95,708.29,639.96,示例数据（需从官方渠道获取实际数据）
2026-02-07,775.95,663.47,652.81,566.11,868.39,716.72,672.61,示例数据（需从官方渠道获取实际数据）
2026-02-08,796.48,699.5,638.15,501.67,926.01,771.34,730.84,示例数据（需从官方渠道获取实际数据）
2026-02-09,762.02,682.93,574.65,594.68,892.6,792.65,749.25,示例数据（需从官方渠道获取实际数据）
2026-02-10,758.39,710.81,676.57,621.2,860.57,841.96,602.63,示例数据（需从官方渠道获取实际数据）
2026-02-11,815.2,625.91,565.98,620.63,885.75,749.51,722.61,示例数据（需从官方渠道获取实际数据）
