日期,澳洲优混_5500大卡（元/吨）,优混_5500大卡（元/吨）,大混1#_5000大卡（元/吨）,大混2#_4500大卡（元/吨）,印尼煤1#_4800大卡（元/吨）,印尼煤2#_4500大卡（元/吨）,印尼煤3#_3800大卡（元/吨）,数据来源
2026-05-06,895,890,805,720,740,705,600,广东省能源运销协会
2026-05-07,905,900,815,730,750,715,610,广东省能源运销协会
2026-05-08,905,900,815,730,750,715,610,广东省能源运销协会
2026-05-09,905,900,815,730,750,715,610,广东省能源运销协会
2026-05-11,905,900,815,730,750,715,610,广东省能源运销协会
2026-05-12,915,900,815,730,760,725,620,广东省能源运销协会
2026-05-13,915,900,815,730,760,725,620,广东省能源运销协会
2026-05-14,915,900,815,730,760,725,620,广东省能源运销协会
2026-05-15,915,900,815,730,760,725,620,广东省能源运销协会
2026-05-18,915,900,815,730,760,725,620,广东省能源运销协会
2026-05-19,940,900,815,730,760,725,620,广东省能源运销协会
2026-05-20,940,900,815,730,760,725,620,广东省能源运销协会
2026-05-21,940,900,815,730,760,725,620,广东省能源运销协会
2026-05-22,940,900,815,730,760,725,620,广东省能源运销协会
2026-05-25,940,900,815,730,760,725,620,广东省能源运销协会
2026-05-26,945,910,835,740,770,735,630,广东省能源运销协会
2026-05-27,945,910,835,740,770,735,630,广东省能源运销协会
2026-05-28,945,910,835,740,770,735,630,广东省能源运销协会
2026-05-29,955,930,855,760,780,745,640,广东省能源运销协会
2026-06-01,955,930,855,760,780,745,640,广东省能源运销协会
